#RIC,Alias Underlying RIC,Domain,Date-Time,GMT Offset,Type,Open,High,Low,Last,Volume,No. Trades,Open Bid,High Bid,Low Bid,Close Bid,No. Bids,Open Ask,High Ask,Low Ask,Close Ask,No. Asks
UNIC.KW,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,51.6,51.6,51.6,51.6,0,55.5,55.5,55.5,55.5,0
UNIK.DU,,Market Price,2022-07-14T20:00:00.000000000Z,+4,Intraday 1Hour,,,,,,,,,,,,8.65,8.65,8.65,8.65,0
UNION.AD,,Market Price,2022-07-14T20:00:00.000000000Z,+4,Intraday 1Hour,,,,,,,,,,,,,,,,
UPAC.KW,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,247,247,247,247,0,260,260,260,260,0
UPRO.DU,,Market Price,2022-07-14T20:00:00.000000000Z,+4,Intraday 1Hour,,,,,,,0.231,0.232,0.229,0.232,0,0.232,0.233,0.23,0.233,0
UREK.KW,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,75.1,75.1,75.1,75.1,0,79.5,79.5,79.5,79.5,0
VFQS.QA,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,1.7,1.7,1.57,1.57,0,1.583,1.59,1.57,1.59,0
VISN.OM,,Market Price,2022-07-14T20:00:00.000000000Z,+4,Intraday 1Hour,,,,,,,,,,,,0.107,0.107,0.107,0.107,0
VOES.OM,,Market Price,2022-07-14T20:00:00.000000000Z,+4,Intraday 1Hour,,,,,,,0.099,0.099,0.099,0.099,0,0.109,0.109,0.109,0.109,0
WAHA.AD,,Market Price,2022-07-14T20:00:00.000000000Z,+4,Intraday 1Hour,,,,,,,1.39,1.39,1.39,1.39,0,1.41,1.41,1.41,1.41,0
WARB.KW,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,238,238,238,238,0,242,242,242,242,0
WARBA.KW,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,77.1,77.1,77.1,77.1,0,86,86,86,86,0
WDAM.QA,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,2.752,2.752,2.75,2.75,0,2.786,2.786,2.751,2.751,0
WETH.KW,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,35.5,35.5,35.5,35.5,0,38.9,38.9,38.9,38.9,0
WINS.KW,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,128,128,128,128,0,135,135,135,135,0
YAHSAT.AD,,Market Price,2022-07-14T20:00:00.000000000Z,+4,Intraday 1Hour,,,,,,,2.53,2.53,2.53,2.53,0,2.54,2.54,2.54,2.54,0
YIAC.KW,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,,,,,,,,,,
ZAIN.KW,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,587,587,587,587,0,600,600,600,600,0
ZHCD.QA,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,17.5,17.5,17.4,17.4,0,17.5,17.5,17.5,17.5,0
